Timestamp,Humidity,Temperature,Distance,Status
2025-04-14T12:52:31.346Z,49,24,"Out of range",Out of range
2025-04-14T12:52:25.654Z,49,24,"Out of range",Out of range
2025-04-14T12:52:20.127Z,49,24,"Out of range",Out of range
2025-04-14T12:52:14.306Z,49,24,"Out of range",Out of range
2025-04-14T12:52:08.643Z,49,24,"Out of range",Out of range
2025-04-14T12:52:03.032Z,48,24,"Out of range",Out of range
2025-04-14T12:51:57.426Z,48,24,"Out of range",Out of range
2025-04-14T12:51:51.808Z,48,24,"Out of range",Out of range
2025-04-14T12:51:46.028Z,48,24,"Out of range",Out of range
2025-04-14T12:51:40.396Z,48,24,"Out of range",Out of range
2025-04-14T12:51:34.723Z,48,24,"Out of range",Out of range
2025-04-14T12:51:29.158Z,48,24,"Out of range",Out of range
2025-04-14T12:51:23.445Z,48,24,"Out of range",Out of range
2025-04-14T12:51:17.779Z,48,24,"Out of range",Out of range
2025-04-14T12:51:12.110Z,48,24,"Out of range",Out of range
2025-04-14T12:51:06.459Z,48,24,"Out of range",Out of range
2025-04-14T12:51:00.814Z,48,24,"Out of range",Out of range
2025-04-14T12:50:55.394Z,48,24,"Out of range",Out of range
2025-04-14T12:50:49.552Z,48,24,"Out of range",Out of range
2025-04-14T12:50:43.869Z,48,24,"Out of range",Out of range
2025-04-14T12:50:38.195Z,48,24,"Out of range",Out of range
2025-04-14T12:50:32.537Z,48,24,"Out of range",Out of range
2025-04-14T12:50:26.977Z,48,24,"Out of range",Out of range
2025-04-14T12:50:21.308Z,48,24,"Out of range",Out of range
2025-04-14T12:50:15.707Z,48,24,"Out of range",Out of range
2025-04-14T12:50:09.931Z,48,24,"Out of range",Out of range
2025-04-14T12:50:04.274Z,48,24,"Out of range",Out of range
2025-04-14T12:49:58.708Z,48,24,"Out of range",Out of range
2025-04-14T12:49:53.005Z,48,24,"Out of range",Out of range
2025-04-14T12:49:47.310Z,48,24,"Out of range",Out of range
2025-04-14T12:49:41.667Z,48,24,"Out of range",Out of range
2025-04-14T12:49:36.008Z,48,24,"Out of range",Out of range
2025-04-14T12:49:30.445Z,48,24,"Out of range",Out of range
2025-04-14T12:49:24.752Z,48,24,"Out of range",Out of range
2025-04-14T12:49:19.054Z,48,24,"Out of range",Out of range
2025-04-14T12:49:13.651Z,48,24,"Out of range",Out of range
2025-04-14T12:49:07.815Z,48,24,"Out of range",Out of range
2025-04-14T12:49:02.081Z,48,24,"Out of range",Out of range
2025-04-14T12:48:56.509Z,48,24,"Out of range",Out of range
2025-04-14T12:48:50.859Z,48,24,"Out of range",Out of range
2025-04-14T12:48:45.156Z,48,24,"Out of range",Out of range
2025-04-14T12:48:39.467Z,48,24,"Out of range",Out of range
2025-04-14T12:48:33.802Z,48,24,"Out of range",Out of range
2025-04-14T12:48:28.146Z,48,24,"Out of range",Out of range
2025-04-14T12:48:22.504Z,48,24,"Out of range",Out of range
2025-04-14T12:48:16.833Z,48,24,"Out of range",Out of range
2025-04-14T12:48:11.253Z,48,24,"Out of range",Out of range
2025-04-14T12:48:05.591Z,48,24,"Out of range",Out of range
2025-04-14T12:47:59.892Z,48,24,"Out of range",Out of range
2025-04-14T12:47:54.224Z,48,24,"Out of range",Out of range
2025-04-14T12:47:48.575Z,48,24,"Out of range",Out of range
2025-04-14T12:47:42.976Z,48,24,"Out of range",Out of range
2025-04-14T12:47:37.318Z,48,24,"Out of range",Out of range
2025-04-14T12:47:31.697Z,48,24,"Out of range",Out of range
2025-04-14T12:47:25.955Z,48,24,"Out of range",Out of range
2025-04-14T12:47:20.393Z,48,24,"Out of range",Out of range
2025-04-14T12:47:14.658Z,48,24,"Out of range",Out of range
2025-04-14T12:47:09.048Z,48,24,"Out of range",Out of range
2025-04-14T12:47:03.371Z,48,24,"Out of range",Out of range
2025-04-14T12:46:57.714Z,48,24,"Out of range",Out of range
2025-04-14T12:46:52.029Z,48,24,"Out of range",Out of range
2025-04-14T12:46:46.496Z,48,24,"Out of range",Out of range
2025-04-14T12:46:40.737Z,48,24,"Out of range",Out of range
2025-04-14T12:46:35.166Z,48,24,"Out of range",Out of range
2025-04-14T12:46:29.453Z,48,24,"Out of range",Out of range
2025-04-14T12:46:23.969Z,48,24,"Out of range",Out of range
2025-04-14T12:46:18.112Z,48,24,"Out of range",Out of range
2025-04-14T12:46:12.473Z,48,24,"Out of range",Out of range
2025-04-14T12:46:06.887Z,48,24,"Out of range",Out of range
2025-04-14T12:46:01.180Z,48,24,"Out of range",Out of range
2025-04-14T12:45:55.602Z,48,24,"Out of range",Out of range
2025-04-14T12:45:49.869Z,48,24,"Out of range",Out of range
2025-04-14T12:45:44.191Z,48,24,"Out of range",Out of range
2025-04-14T12:45:38.544Z,48,24,"Out of range",Out of range
2025-04-14T12:45:32.930Z,48,24,"Out of range",Out of range
2025-04-14T12:45:27.299Z,48,24,"Out of range",Out of range
2025-04-14T12:45:21.571Z,48,24,"Out of range",Out of range
2025-04-14T12:45:15.932Z,48,24,"Out of range",Out of range
2025-04-14T12:45:10.271Z,48,24,"Out of range",Out of range
2025-04-14T12:45:04.750Z,48,24,"Out of range",Out of range
2025-04-14T12:44:59.058Z,48,24,"Out of range",Out of range
2025-04-14T12:44:53.444Z,48,24,"Out of range",Out of range
2025-04-14T12:44:47.654Z,48,24,"Out of range",Out of range
2025-04-14T12:44:41.996Z,48,24,"Out of range",Out of range
2025-04-14T12:44:36.359Z,48,24,"Out of range",Out of range
2025-04-14T12:44:30.766Z,48,24,"Out of range",Out of range
2025-04-14T12:44:25.075Z,48,24,"Out of range",Out of range
2025-04-14T12:44:19.375Z,48,24,"Out of range",Out of range
2025-04-14T12:44:13.815Z,48,24,"Out of range",Out of range
2025-04-14T12:44:08.081Z,48,24,"Out of range",Out of range
2025-04-14T12:44:02.453Z,48,24,"Out of range",Out of range
2025-04-14T12:43:56.937Z,48,24,"Out of range",Out of range
2025-04-14T12:43:51.150Z,48,24,"Out of range",Out of range
2025-04-14T12:43:45.552Z,48,24,"Out of range",Out of range
2025-04-14T12:43:39.816Z,48,24,"Out of range",Out of range
2025-04-14T12:43:34.152Z,48,24,"Out of range",Out of range
2025-04-14T12:43:28.550Z,48,24,"Out of range",Out of range
2025-04-14T12:43:23.022Z,48,24,"Out of range",Out of range
2025-04-14T12:43:17.299Z,48,24,"Out of range",Out of range
2025-04-14T12:43:11.553Z,48,24,"Out of range",Out of range
2025-04-14T12:43:05.892Z,48,24,"Out of range",Out of range
2025-04-14T12:43:00.261Z,48,24,"Out of range",Out of range
2025-04-14T12:42:54.642Z,48,24,"Out of range",Out of range
2025-04-14T12:42:48.942Z,48,24,"Out of range",Out of range
2025-04-14T12:42:43.274Z,48,24,"Out of range",Out of range
2025-04-14T12:42:37.625Z,48,24,"Out of range",Out of range
2025-04-14T12:42:31.961Z,48,24,"Out of range",Out of range
2025-04-14T12:42:26.497Z,48,24,"Out of range",Out of range
2025-04-14T12:42:20.802Z,48,24,"Out of range",Out of range
2025-04-14T12:42:15.142Z,48,24,"Out of range",Out of range
2025-04-14T12:42:09.354Z,48,24,"Out of range",Out of range
2025-04-14T12:42:03.769Z,48,24,"Out of range",Out of range
2025-04-14T12:41:58.044Z,48,24,"Out of range",Out of range
2025-04-14T12:41:52.525Z,48,24,"Out of range",Out of range
2025-04-14T12:41:46.788Z,48,24,"Out of range",Out of range
2025-04-14T12:41:41.136Z,48,24,"Out of range",Out of range
2025-04-14T12:41:35.430Z,48,24,"Out of range",Out of range
2025-04-14T12:41:29.782Z,48,24,"Out of range",Out of range
2025-04-14T12:41:24.179Z,48,24,"Out of range",Out of range
2025-04-14T12:41:18.547Z,48,24,"Out of range",Out of range
2025-04-14T12:41:12.901Z,48,24,"Out of range",Out of range
2025-04-14T12:41:07.159Z,48,24,"Out of range",Out of range
2025-04-14T12:41:01.604Z,48,24,"Out of range",Out of range
2025-04-14T12:40:55.837Z,48,24,"Out of range",Out of range
2025-04-14T12:40:50.339Z,48,24,"Out of range",Out of range
2025-04-14T12:40:44.563Z,48,24,"Out of range",Out of range
2025-04-14T12:40:38.975Z,48,24,"Out of range",Out of range
2025-04-14T12:40:33.234Z,48,24,"Out of range",Out of range
2025-04-14T12:40:27.573Z,48,24,"Out of range",Out of range
2025-04-14T12:40:22.003Z,48,24,"Out of range",Out of range
2025-04-14T12:40:16.347Z,48,24,"Out of range",Out of range
2025-04-14T12:40:10.724Z,48,24,"Out of range",Out of range
2025-04-14T12:40:04.971Z,48,24,"Out of range",Out of range
2025-04-14T12:39:59.305Z,48,24,"Out of range",Out of range
2025-04-14T12:39:53.666Z,48,24,"Out of range",Out of range
2025-04-14T12:39:48.019Z,48,24,"Out of range",Out of range
2025-04-14T12:39:42.368Z,48,24,"Out of range",Out of range
2025-04-14T12:39:36.713Z,48,24,"Out of range",Out of range
2025-04-14T12:39:31.040Z,48,24,"Out of range",Out of range
2025-04-14T12:39:25.385Z,48,24,"Out of range",Out of range
2025-04-14T12:39:19.735Z,48,24,"Out of range",Out of range
2025-04-14T12:39:14.089Z,48,24,"Out of range",Out of range
2025-04-14T12:39:08.465Z,48,24,"Out of range",Out of range
2025-04-14T12:39:02.864Z,48,24,"Out of range",Out of range
2025-04-14T12:38:57.119Z,48,24,"Out of range",Out of range
2025-04-14T12:38:51.455Z,48,24,"Out of range",Out of range
2025-04-14T12:38:45.817Z,48,24,"Out of range",Out of range
2025-04-14T12:38:40.255Z,48,24,"Out of range",Out of range
2025-04-14T12:38:34.579Z,48,24,"Out of range",Out of range
2025-04-14T12:38:28.851Z,48,24,"Out of range",Out of range
2025-04-14T12:38:23.205Z,48,24,"Out of range",Out of range
2025-04-14T12:38:17.551Z,48,24,"Out of range",Out of range
2025-04-14T12:38:11.883Z,48,24,"Out of range",Out of range
2025-04-14T12:38:06.287Z,48,24,"Out of range",Out of range
2025-04-14T12:38:00.653Z,48,24,"Out of range",Out of range
2025-04-14T12:37:55.099Z,48,24,"Out of range",Out of range
2025-04-14T12:37:49.278Z,48,24,"Out of range",Out of range
2025-04-14T12:37:43.627Z,48,24,"Out of range",Out of range
2025-04-14T12:37:38.001Z,48,24,"Out of range",Out of range
2025-04-14T12:37:32.365Z,48,24,"Out of range",Out of range
